id,meaning_id,example
1,2872,По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
2,2936,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
3,3484,"Все дома я могу припомнить, чьи были дома."
4,3484,"Ну, тут уже [Сюрде] кончается."
5,3485,"Одно было в конце Кажинагде, в давние времена там хоронили всех [покойников]."
6,3489,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
7,3489,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
8,3489,"Все дома я могу припомнить, чьи были дома."
9,3492,"Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани."
10,3492,"А потом за полями в конце Сюрди были дома Мокин, Дюрасова, Секон, Олёшкан, Декку Руган, а в заднем ряду была еще школа."
11,3492,По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
12,3546,По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
13,3546,По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
14,3547,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
15,3548,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
16,3549,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
17,3550,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
18,3550,"Все дома я могу припомнить, чьи были дома."
19,3550,"Все дома я могу припомнить, чьи были дома."
20,3550,"Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду."
21,3551,"Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли."
22,3551,"А потом за полями в конце Сюрди были дома Мокин, Дюрасова, Секон, Олёшкан, Декку Руган, а в заднем ряду была еще школа."
23,3551,От дома Голован начинается Хауде.
24,3551,"Одно было в конце Кажинагде, в давние времена там хоронили всех [покойников]."
25,3553,"Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти."
26,3553,"Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти."
27,3553,"Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти."
28,3553,"Этим проселком нельзя было попасть на дорогу, на большую дорогу."
29,3553,"Этим проселком нельзя было попасть на дорогу, на большую дорогу."
30,3554,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
31,3554,"Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти."
32,3554,"Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти."
33,3554,"Этим проселком нельзя было попасть на дорогу, на большую дорогу."
34,3555,"Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти."
35,3555,"Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти."
36,3555,"Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти."
37,3555,"Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти."
38,3556,"Этим проселком нельзя было попасть на дорогу, на большую дорогу."
39,3557,Было два кладбища.
40,3559,Было три проселка.
41,3562,"Здесь деревня кончается, дальше уже пойдет кладбище, кладбище дальше."
42,3566,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
43,3567,Со стороны погоста деревня начиналась и в Кажинагде кончалась.
44,3568,"Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду."
45,3568,"Первым был дом Лаурин, затем Тимуоя Пекан, за ним были [дома] Богаттерин, Родин, Стёпин, Карпан, Пеши Руган, затем дом Баранцева, затем был дом Терентьева Ивана и Олёши."
46,3572,"Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян."
47,14970,"Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти."
48,15876,"Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян."
49,16155,"Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
50,23848,"А новое уже было открыто в Киркуой, вблизи проселка Сюрди, немного позднее его тут открыли, вся деревня там хоронила."
51,23912,По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
52,34843,"Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани."
53,35006,"Здесь деревня кончается, дальше уже пойдет кладбище, кладбище дальше."
54,35113,По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
55,35715,Было три проселка.
56,37330,"Край [деревни] со стороны погоста до дома Мийккула Богаттерин называли Муале, от Мийккула Богаттерин до дома Голован – Сюрде, от Голован до Левоски – Хауде, от Левоски и до конца – Кажинагде называли."
57,37330,"Одно было в конце Кажинагде, в давние времена там хоронили всех [покойников]."
58,42721,"Затем был дом Мачин, затем на мысу, мысом Чуркина [называли], был дом Чуркина, затем дом Титова, Серговян, далее Дякку Мишан, Ивана Мишан был, Ондреван был, а Левоска жил на самом краю."
