id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
1,85970,73386,-ena,krl,PART,усилительная частица,,,
2,77685,66335,-gi,krl,PART,и,also,,
3,77686,66335,-gi,krl,PART,также,also,,
4,71804,61135,-go,krl,PART,ли,,,
5,80294,68543,-h,krl,PART,притяжательная частица 3 л. ед. ч.,,,
6,78652,67202,-han,krl,PART,же,,,
7,78338,66924,-hän,krl,PART,же,,,
8,85915,73333,-ka,krl,PART,-ка (употребляется для смягчения требования),,,
9,77115,65803,-ki,krl,PART,и,also,,
10,77684,65803,-ki,krl,PART,также,also,,
11,80342,68585,-kko,krl,PART,-ка,,,
12,78313,66900,-ko,krl,PART,ли,,,
13,92485,66900,-ko,krl,PART,-ка,,,
14,78337,66923,-kä,krl,PART,и (при отрицании),and (in negative forms),,
15,78314,66901,-kö,krl,PART,ли,,,
16,77071,65767,-ni,krl,PART,притяжательная частица 1 л. ед. ч.,,,
17,82960,70759,-olgah,krl,PART,"-нибудь, -то",,,
18,79647,67975,-ollou,krl,PART,-то,,,
19,87705,74963,-pa,krl,PART,"ведь, же, однако, же, –то, -ка, бы",,,
20,87706,74964,-pä,krl,PART,"ведь, же, однако, же, –то, -ка, бы",,,
21,78257,66847,-tahto,krl,PART,-то,,,
22,85944,73361,-ten,krl,PART,усилительная частица,,,
23,85916,73334,-to,krl,PART,-то (употребляется для смыслового выделения слова и в составе неопределённых местоимений),,,
24,77077,65772,-š,krl,PART,притяжательная частица 2 л. ед. ч.,,,
25,17770,16027,Aasija,krl,PROPN,Азия,,,
26,79766,68090,Afrikka,krl,PROPN,Африка,,,
27,77430,66101,Ahava,krl,PROPN,Ахава (фамилия),Ahava (surname),,
28,17754,16011,Ahti,krl,PROPN,дух-хозяин воды,,,
29,79979,68272,Albanija,krl,PROPN,Албания,,,
30,80230,68493,Amerikka,krl,PROPN,Америка,,,
31,30636,26523,Anna,krl,PROPN,Анна,,,
32,81378,69483,Anni,krl,PROPN,"Анна, Аня",,,
33,80417,68655,Argentiina,krl,NOUN,Аргентина,,,
34,87360,74651,Arherei,krl,NOUN,Архиерей,,,
35,80445,68678,Arkolʼa,krl,PROPN,"Арколя (мифическое место, где живут трусливые люди)",,,
36,80447,68680,Arktikka,krl,PROPN,Арктика,,,
37,80458,68687,Armenija,krl,NOUN,Армения,,,
38,80637,68845,Aunuš,krl,PROPN,Олонец,,,
39,17760,16017,Australija,krl,PROPN,Австралия,,,
40,88688,75841,Avgusta,krl,PROPN,Август,,,
41,17761,16018,Azerbaidžan,krl,PROPN,Азербайджан,,,
42,80706,68903,Baikal,krl,PROPN,Байкал,,,
43,80720,68917,Belgija,krl,PROPN,Бельгия,,,
44,78384,66966,Beruga,krl,PROPN,Берлуга,,,
45,80726,68923,Biblija,krl,NOUN,Библия,,,
46,83076,70833,Blagovernoi,krl,ADJ,Благоверный,,,
47,26099,22964,Bohročča,krl,PROPN,Богородица,,,
48,80735,68932,Bolgarija,krl,PROPN,Болгария,,,
49,80739,68937,Brasilija,krl,PROPN,Бразилия,,,
50,88663,75817,Davida,krl,PROPN,Давид,,,
51,85923,73341,Dolguanova,krl,PROPN,Долганово,,,
52,89198,76313,Duavida,krl,PROPN,Давид,,,
53,81621,69689,Dubrova,krl,PROPN,Дубровка,,,
54,79970,68264,Dun’a,krl,PROPN,"Евдокия, Дуня",,,
55,81094,69258,Duuma,krl,NOUN,Дума (учреждение),,,
56,79939,68234,Duuničča,krl,PROPN,Дуница,,,
57,86289,73670,D’ustärvi,krl,PROPN,Юстозеро,,,
58,86199,73582,El’mussa,krl,PROPN,Эльмус,,,
59,81343,69451,Englanti,krl,PROPN,Англия,,,
60,81502,69587,Europpa,krl,PROPN,Европа,,,
61,82677,70527,Fed’a,krl,PROPN,"Фёдор, Федя",,,
62,88820,75967,Foma,krl,PROPN,Фома,,,
63,81262,69389,Frola,krl,PROPN,Фрол,,,
64,79741,68065,F’okla,krl,PROPN,Фекла,,,
65,82642,70492,Gal’a,krl,PROPN,Галина,,,
66,88716,75868,Gavriil,krl,PROPN,Гавриил,,,
67,81580,69656,Gnezdova,krl,PROPN,Гнездово,,,
68,78386,66967,Gorka,krl,PROPN,Горка,,,
69,85981,73397,Gorki,krl,PROPN,Макаровская Горка,,,
70,78388,66969,Gor’oiniemi,krl,PROPN,Горойниеми,,,
71,81552,69632,Gruusija,krl,PROPN,Грузия,,,
72,86194,73577,Hirvas,krl,PROPN,Гирвас,,,
73,78455,67028,Hirvenniemi,krl,PROPN,Петров Наволок - деревня в составе Паданского сельского поселения Медвежьегорского района Республики Карелия,,,
74,79672,67999,Hodari,krl,PROPN,"Федор, Федя",,,
75,83983,71625,Hollanti,krl,PROPN,Голландия,,,
76,84086,71714,Hospoti,krl,INTJ,Господи,,,
77,79975,68268,Hristoforov,krl,PROPN,Христофоров,,,
78,88714,75866,Hristos,krl,PROPN,Христос,,,
